Error Type,Image,Error Occurrences
FP,Individual_Component\test\test_negative\00000004\item_00004515.pnm,4
FP,Individual_Component\test\test_negative\00000000\item_00000035.pnm,45
FN,Individual_Component\test\test_positive\00000001\item_00001589.pnm,39
FP,Individual_Component\test\test_negative\00000001\item_00001270.pnm,33
FN,Individual_Component\test\test_positive\00000002\item_00002951.pnm,4
FN,Individual_Component\test\test_positive\00000000\item_00000187.pnm,34
FP,Individual_Component\test\test_negative\00000003\item_00003457.pnm,17
FP,Individual_Component\test\test_negative\00000005\item_00005976.pnm,10
FP,Individual_Component\test\test_negative\00000005\item_00005131.pnm,33
FP,Individual_Component\test\test_negative\00000001\item_00001878.pnm,24
FP,Individual_Component\test\test_negative\00000000\item_00000031.pnm,21
FP,Individual_Component\test\test_negative\00000001\item_00001682.pnm,44
FP,Individual_Component\test\test_negative\00000001\item_00001547.pnm,10
FP,Individual_Component\test\test_negative\00000004\item_00004306.pnm,54
FP,Individual_Component\test\test_negative\00000000\item_00000883.pnm,3
FP,Individual_Component\test\test_negative\00000004\item_00004579.pnm,20
FN,Individual_Component\test\test_positive\00000003\item_00003321.pnm,25
FP,Individual_Component\test\test_negative\00000003\item_00003776.pnm,52
FP,Individual_Component\test\test_negative\00000004\item_00004914.pnm,2
FP,Individual_Component\test\test_negative\00000004\item_00004491.pnm,39
FN,Individual_Component\test\test_positive\00000001\item_00001299.pnm,13
FP,Individual_Component\test\test_negative\00000004\item_00004361.pnm,42
FN,Individual_Component\test\test_positive\00000000\item_00000141.pnm,15
FN,Individual_Component\test\test_positive\00000000\item_00000459.pnm,9
FN,Individual_Component\test\test_positive\00000000\item_00000687.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003387.pnm,8
FP,Individual_Component\test\test_negative\00000005\item_00005644.pnm,4
FP,Individual_Component\test\test_negative\00000005\item_00005404.pnm,3
FP,Individual_Component\test\test_negative\00000001\item_00001170.pnm,4
FP,Individual_Component\test\test_negative\00000004\item_00004846.pnm,51
FP,Individual_Component\test\test_negative\00000002\item_00002708.pnm,49
FP,Individual_Component\test\test_negative\00000001\item_00001534.pnm,46
FN,Individual_Component\test\test_positive\00000001\item_00001641.pnm,2
FP,Individual_Component\test\test_negative\00000002\item_00002145.pnm,9
FN,Individual_Component\test\test_positive\00000002\item_00002990.pnm,5
FN,Individual_Component\test\test_positive\00000000\item_00000522.pnm,5
FN,Individual_Component\test\test_positive\00000003\item_00003359.pnm,6
FN,Individual_Component\test\test_positive\00000001\item_00001311.pnm,5
FP,Individual_Component\test\test_negative\00000002\item_00002430.pnm,49
FP,Individual_Component\test\test_negative\00000000\item_00000259.pnm,6
FP,Individual_Component\test\test_negative\00000003\item_00003169.pnm,20
FP,Individual_Component\test\test_negative\00000001\item_00001991.pnm,14
FP,Individual_Component\test\test_negative\00000003\item_00003068.pnm,6
FP,Individual_Component\test\test_negative\00000004\item_00004686.pnm,4
FN,Individual_Component\test\test_positive\00000001\item_00001826.pnm,7
FP,Individual_Component\test\test_negative\00000000\item_00000680.pnm,20
FN,Individual_Component\test\test_positive\00000000\item_00000632.pnm,11
FP,Individual_Component\test\test_negative\00000000\item_00000449.pnm,24
FP,Individual_Component\test\test_negative\00000002\item_00002295.pnm,28
FN,Individual_Component\test\test_positive\00000002\item_00002545.pnm,5
FP,Individual_Component\test\test_negative\00000000\item_00000529.pnm,4
FP,Individual_Component\test\test_negative\00000000\item_00000269.pnm,14
FN,Individual_Component\test\test_positive\00000001\item_00001388.pnm,20
FP,Individual_Component\test\test_negative\00000004\item_00004588.pnm,3
FN,Individual_Component\test\test_positive\00000003\item_00003232.pnm,9
FP,Individual_Component\test\test_negative\00000004\item_00004471.pnm,10
FP,Individual_Component\test\test_negative\00000002\item_00002642.pnm,29
FN,Individual_Component\test\test_positive\00000000\item_00000374.pnm,17
FP,Individual_Component\test\test_negative\00000001\item_00001116.pnm,17
FP,Individual_Component\test\test_negative\00000005\item_00005632.pnm,5
FN,Individual_Component\test\test_positive\00000002\item_00002054.pnm,5
FN,Individual_Component\test\test_positive\00000000\item_00000316.pnm,4
FP,Individual_Component\test\test_negative\00000003\item_00003275.pnm,48
FP,Individual_Component\test\test_negative\00000001\item_00001898.pnm,2
FP,Individual_Component\test\test_negative\00000002\item_00002348.pnm,4
FN,Individual_Component\test\test_positive\00000001\item_00001607.pnm,3
FN,Individual_Component\test\test_positive\00000000\item_00000885.pnm,3
FP,Individual_Component\test\test_negative\00000005\item_00005348.pnm,33
FN,Individual_Component\test\test_positive\00000001\item_00001245.pnm,8
FP,Individual_Component\test\test_negative\00000000\item_00000445.pnm,15
FP,Individual_Component\test\test_negative\00000005\item_00005897.pnm,8
FP,Individual_Component\test\test_negative\00000004\item_00004875.pnm,11
FN,Individual_Component\test\test_positive\00000002\item_00002064.pnm,13
FN,Individual_Component\test\test_positive\00000001\item_00001574.pnm,33
FN,Individual_Component\test\test_positive\00000002\item_00002808.pnm,7
FP,Individual_Component\test\test_negative\00000004\item_00004599.pnm,5
FP,Individual_Component\test\test_negative\00000003\item_00003503.pnm,26
FP,Individual_Component\test\test_negative\00000000\item_00000740.pnm,8
FP,Individual_Component\test\test_negative\00000000\item_00000092.pnm,59
FP,Individual_Component\test\test_negative\00000004\item_00004217.pnm,42
FN,Individual_Component\test\test_positive\00000001\item_00001481.pnm,10
FP,Individual_Component\test\test_negative\00000005\item_00005526.pnm,11
FN,Individual_Component\test\test_positive\00000000\item_00000951.pnm,38
FP,Individual_Component\test\test_negative\00000003\item_00003012.pnm,10
FP,Individual_Component\test\test_negative\00000005\item_00005452.pnm,5
FN,Individual_Component\test\test_positive\00000002\item_00002125.pnm,27
FP,Individual_Component\test\test_negative\00000000\item_00000686.pnm,5
FP,Individual_Component\test\test_negative\00000001\item_00001216.pnm,10
FP,Individual_Component\test\test_negative\00000005\item_00005476.pnm,15
FN,Individual_Component\test\test_positive\00000001\item_00001633.pnm,14
FP,Individual_Component\test\test_negative\00000001\item_00001327.pnm,36
FP,Individual_Component\test\test_negative\00000004\item_00004119.pnm,34
FP,Individual_Component\test\test_negative\00000003\item_00003344.pnm,8
FP,Individual_Component\test\test_negative\00000003\item_00003349.pnm,9
FN,Individual_Component\test\test_positive\00000000\item_00000851.pnm,12
FP,Individual_Component\test\test_negative\00000002\item_00002397.pnm,12
FN,Individual_Component\test\test_positive\00000001\item_00001816.pnm,2
FP,Individual_Component\test\test_negative\00000002\item_00002645.pnm,74
FP,Individual_Component\test\test_negative\00000004\item_00004751.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003436.pnm,11
FN,Individual_Component\test\test_positive\00000003\item_00003446.pnm,81
FP,Individual_Component\test\test_negative\00000005\item_00005358.pnm,20
FN,Individual_Component\test\test_positive\00000000\item_00000202.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003935.pnm,49
FN,Individual_Component\test\test_positive\00000002\item_00002790.pnm,5
FP,Individual_Component\test\test_negative\00000005\item_00005539.pnm,5
FP,Individual_Component\test\test_negative\00000004\item_00004549.pnm,43
FP,Individual_Component\test\test_negative\00000005\item_00005227.pnm,51
FP,Individual_Component\test\test_negative\00000005\item_00005114.pnm,11
FP,Individual_Component\test\test_negative\00000001\item_00001402.pnm,8
FN,Individual_Component\test\test_positive\00000002\item_00002433.pnm,23
FN,Individual_Component\test\test_positive\00000001\item_00001155.pnm,10
FP,Individual_Component\test\test_negative\00000005\item_00005450.pnm,8
FP,Individual_Component\test\test_negative\00000005\item_00005944.pnm,15
FP,Individual_Component\test\test_negative\00000005\item_00005429.pnm,14
FP,Individual_Component\test\test_negative\00000001\item_00001941.pnm,47
FP,Individual_Component\test\test_negative\00000005\item_00005636.pnm,4
FN,Individual_Component\test\test_positive\00000002\item_00002067.pnm,11
FN,Individual_Component\test\test_positive\00000001\item_00001156.pnm,12
FP,Individual_Component\test\test_negative\00000000\item_00000937.pnm,12
FP,Individual_Component\test\test_negative\00000000\item_00000484.pnm,16
FP,Individual_Component\test\test_negative\00000002\item_00002903.pnm,9
FP,Individual_Component\test\test_negative\00000002\item_00002734.pnm,40
FP,Individual_Component\test\test_negative\00000002\item_00002975.pnm,12
FP,Individual_Component\test\test_negative\00000005\item_00005134.pnm,71
FN,Individual_Component\test\test_positive\00000001\item_00001281.pnm,55
FN,Individual_Component\test\test_positive\00000003\item_00003032.pnm,7
FP,Individual_Component\test\test_negative\00000000\item_00000480.pnm,10
FP,Individual_Component\test\test_negative\00000004\item_00004470.pnm,17
FN,Individual_Component\test\test_positive\00000001\item_00001203.pnm,21
FP,Individual_Component\test\test_negative\00000002\item_00002419.pnm,18
FN,Individual_Component\test\test_positive\00000002\item_00002061.pnm,27
FP,Individual_Component\test\test_negative\00000001\item_00001681.pnm,5
FP,Individual_Component\test\test_negative\00000003\item_00003035.pnm,16
FP,Individual_Component\test\test_negative\00000001\item_00001927.pnm,6
FP,Individual_Component\test\test_negative\00000003\item_00003072.pnm,36
FP,Individual_Component\test\test_negative\00000004\item_00004840.pnm,74
FN,Individual_Component\test\test_positive\00000000\item_00000993.pnm,6
FN,Individual_Component\test\test_positive\00000002\item_00002829.pnm,26
FP,Individual_Component\test\test_negative\00000005\item_00005677.pnm,9
FN,Individual_Component\test\test_positive\00000000\item_00000375.pnm,8
FN,Individual_Component\test\test_positive\00000000\item_00000890.pnm,5
FN,Individual_Component\test\test_positive\00000000\item_00000183.pnm,33
FN,Individual_Component\test\test_positive\00000001\item_00001086.pnm,21
FP,Individual_Component\test\test_negative\00000005\item_00005126.pnm,12
FP,Individual_Component\test\test_negative\00000001\item_00001298.pnm,24
FP,Individual_Component\test\test_negative\00000001\item_00001357.pnm,5
FP,Individual_Component\test\test_negative\00000003\item_00003498.pnm,14
FN,Individual_Component\test\test_positive\00000002\item_00002366.pnm,37
FN,Individual_Component\test\test_positive\00000001\item_00001151.pnm,21
FP,Individual_Component\test\test_negative\00000004\item_00004517.pnm,19
FP,Individual_Component\test\test_negative\00000002\item_00002935.pnm,11
FP,Individual_Component\test\test_negative\00000004\item_00004838.pnm,10
FN,Individual_Component\test\test_positive\00000002\item_00002668.pnm,54
FP,Individual_Component\test\test_negative\00000004\item_00004540.pnm,17
FP,Individual_Component\test\test_negative\00000001\item_00001440.pnm,6
FN,Individual_Component\test\test_positive\00000002\item_00002379.pnm,21
FP,Individual_Component\test\test_negative\00000004\item_00004084.pnm,10
FN,Individual_Component\test\test_positive\00000001\item_00001377.pnm,6
FP,Individual_Component\test\test_negative\00000005\item_00005556.pnm,30
FN,Individual_Component\test\test_positive\00000001\item_00001991.pnm,13
FP,Individual_Component\test\test_negative\00000005\item_00005064.pnm,3
FP,Individual_Component\test\test_negative\00000002\item_00002134.pnm,22
FP,Individual_Component\test\test_negative\00000004\item_00004240.pnm,34
FP,Individual_Component\test\test_negative\00000005\item_00005121.pnm,10
FP,Individual_Component\test\test_negative\00000003\item_00003732.pnm,39
FP,Individual_Component\test\test_negative\00000003\item_00003508.pnm,20
FP,Individual_Component\test\test_negative\00000003\item_00003145.pnm,19
FN,Individual_Component\test\test_positive\00000003\item_00003040.pnm,69
FP,Individual_Component\test\test_negative\00000001\item_00001452.pnm,27
FP,Individual_Component\test\test_negative\00000001\item_00001500.pnm,14
FN,Individual_Component\test\test_positive\00000002\item_00002013.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003602.pnm,20
FN,Individual_Component\test\test_positive\00000001\item_00001312.pnm,3
FP,Individual_Component\test\test_negative\00000000\item_00000473.pnm,15
FP,Individual_Component\test\test_negative\00000002\item_00002303.pnm,7
FP,Individual_Component\test\test_negative\00000005\item_00005014.pnm,7
FN,Individual_Component\test\test_positive\00000001\item_00001279.pnm,29
FP,Individual_Component\test\test_negative\00000000\item_00000564.pnm,27
FN,Individual_Component\test\test_positive\00000003\item_00003417.pnm,37
FP,Individual_Component\test\test_negative\00000002\item_00002308.pnm,18
FP,Individual_Component\test\test_negative\00000000\item_00000287.pnm,20
FP,Individual_Component\test\test_negative\00000001\item_00001164.pnm,26
FP,Individual_Component\test\test_negative\00000004\item_00004273.pnm,32
FP,Individual_Component\test\test_negative\00000005\item_00005508.pnm,13
FP,Individual_Component\test\test_negative\00000003\item_00003855.pnm,10
FP,Individual_Component\test\test_negative\00000001\item_00001731.pnm,14
FP,Individual_Component\test\test_negative\00000001\item_00001765.pnm,12
FP,Individual_Component\test\test_negative\00000003\item_00003882.pnm,15
FP,Individual_Component\test\test_negative\00000001\item_00001280.pnm,24
FN,Individual_Component\test\test_positive\00000002\item_00002027.pnm,42
FP,Individual_Component\test\test_negative\00000004\item_00004865.pnm,14
FP,Individual_Component\test\test_negative\00000003\item_00003760.pnm,71
FP,Individual_Component\test\test_negative\00000000\item_00000554.pnm,11
FP,Individual_Component\test\test_negative\00000002\item_00002860.pnm,16
FP,Individual_Component\test\test_negative\00000005\item_00005184.pnm,9
FP,Individual_Component\test\test_negative\00000005\item_00005602.pnm,12
FN,Individual_Component\test\test_positive\00000000\item_00000594.pnm,13
FP,Individual_Component\test\test_negative\00000004\item_00004829.pnm,9
FP,Individual_Component\test\test_negative\00000003\item_00003613.pnm,12
FP,Individual_Component\test\test_negative\00000000\item_00000717.pnm,22
FN,Individual_Component\test\test_positive\00000001\item_00001172.pnm,29
FP,Individual_Component\test\test_negative\00000005\item_00005656.pnm,39
FP,Individual_Component\test\test_negative\00000005\item_00005815.pnm,4
FP,Individual_Component\test\test_negative\00000004\item_00004620.pnm,18
FN,Individual_Component\test\test_positive\00000001\item_00001412.pnm,8
FN,Individual_Component\test\test_positive\00000002\item_00002595.pnm,16
FP,Individual_Component\test\test_negative\00000004\item_00004868.pnm,26
FP,Individual_Component\test\test_negative\00000003\item_00003500.pnm,11
FP,Individual_Component\test\test_negative\00000003\item_00003995.pnm,4
FP,Individual_Component\test\test_negative\00000001\item_00001021.pnm,5
FN,Individual_Component\test\test_positive\00000000\item_00000298.pnm,21
FP,Individual_Component\test\test_negative\00000003\item_00003398.pnm,28
FP,Individual_Component\test\test_negative\00000002\item_00002196.pnm,3
FP,Individual_Component\test\test_negative\00000004\item_00004146.pnm,7
FP,Individual_Component\test\test_negative\00000001\item_00001307.pnm,8
FP,Individual_Component\test\test_negative\00000003\item_00003981.pnm,14
FP,Individual_Component\test\test_negative\00000002\item_00002491.pnm,19
FP,Individual_Component\test\test_negative\00000003\item_00003630.pnm,15
FP,Individual_Component\test\test_negative\00000004\item_00004622.pnm,11
FP,Individual_Component\test\test_negative\00000000\item_00000754.pnm,10
FP,Individual_Component\test\test_negative\00000000\item_00000496.pnm,19
FP,Individual_Component\test\test_negative\00000001\item_00001208.pnm,20
FN,Individual_Component\test\test_positive\00000002\item_00002403.pnm,14
FP,Individual_Component\test\test_negative\00000004\item_00004186.pnm,12
FP,Individual_Component\test\test_negative\00000002\item_00002322.pnm,8
FP,Individual_Component\test\test_negative\00000004\item_00004705.pnm,9
FP,Individual_Component\test\test_negative\00000001\item_00001291.pnm,2
FN,Individual_Component\test\test_positive\00000003\item_00003327.pnm,11
FP,Individual_Component\test\test_negative\00000005\item_00005605.pnm,15
FP,Individual_Component\test\test_negative\00000003\item_00003475.pnm,5
FP,Individual_Component\test\test_negative\00000001\item_00001236.pnm,13
FP,Individual_Component\test\test_negative\00000005\item_00005746.pnm,47
FP,Individual_Component\test\test_negative\00000004\item_00004770.pnm,15
FN,Individual_Component\test\test_positive\00000001\item_00001111.pnm,10
FP,Individual_Component\test\test_negative\00000000\item_00000620.pnm,22
FN,Individual_Component\test\test_positive\00000002\item_00002742.pnm,2
FP,Individual_Component\test\test_negative\00000000\item_00000387.pnm,13
FP,Individual_Component\test\test_negative\00000004\item_00004021.pnm,8
FP,Individual_Component\test\test_negative\00000005\item_00005308.pnm,11
FN,Individual_Component\test\test_positive\00000002\item_00002963.pnm,9
FP,Individual_Component\test\test_negative\00000001\item_00001664.pnm,3
FP,Individual_Component\test\test_negative\00000000\item_00000818.pnm,3
FN,Individual_Component\test\test_positive\00000000\item_00000694.pnm,15
FP,Individual_Component\test\test_negative\00000004\item_00004156.pnm,9
FP,Individual_Component\test\test_negative\00000000\item_00000950.pnm,33
FP,Individual_Component\test\test_negative\00000001\item_00001810.pnm,9
FN,Individual_Component\test\test_positive\00000000\item_00000296.pnm,39
FP,Individual_Component\test\test_negative\00000000\item_00000430.pnm,16
FP,Individual_Component\test\test_negative\00000002\item_00002480.pnm,8
FN,Individual_Component\test\test_positive\00000001\item_00001782.pnm,9
FP,Individual_Component\test\test_negative\00000003\item_00003510.pnm,13
FP,Individual_Component\test\test_negative\00000005\item_00005125.pnm,11
FP,Individual_Component\test\test_negative\00000000\item_00000482.pnm,8
FN,Individual_Component\test\test_positive\00000001\item_00001860.pnm,7
FP,Individual_Component\test\test_negative\00000005\item_00005812.pnm,20
FN,Individual_Component\test\test_positive\00000000\item_00000422.pnm,19
FN,Individual_Component\test\test_positive\00000001\item_00001305.pnm,4
FP,Individual_Component\test\test_negative\00000001\item_00001258.pnm,6
FP,Individual_Component\test\test_negative\00000003\item_00003164.pnm,19
FN,Individual_Component\test\test_positive\00000000\item_00000446.pnm,12
FP,Individual_Component\test\test_negative\00000003\item_00003225.pnm,29
FP,Individual_Component\test\test_negative\00000004\item_00004162.pnm,5
FP,Individual_Component\test\test_negative\00000005\item_00005628.pnm,109
FP,Individual_Component\test\test_negative\00000001\item_00001983.pnm,13
FP,Individual_Component\test\test_negative\00000000\item_00000308.pnm,8
FP,Individual_Component\test\test_negative\00000003\item_00003646.pnm,4
FP,Individual_Component\test\test_negative\00000004\item_00004842.pnm,6
FP,Individual_Component\test\test_negative\00000002\item_00002584.pnm,10
FP,Individual_Component\test\test_negative\00000001\item_00001321.pnm,19
FP,Individual_Component\test\test_negative\00000005\item_00005768.pnm,3
FN,Individual_Component\test\test_positive\00000000\item_00000697.pnm,5
FP,Individual_Component\test\test_negative\00000002\item_00002091.pnm,2
FP,Individual_Component\test\test_negative\00000002\item_00002339.pnm,10
FN,Individual_Component\test\test_positive\00000003\item_00003186.pnm,10
FP,Individual_Component\test\test_negative\00000001\item_00001469.pnm,37
FP,Individual_Component\test\test_negative\00000002\item_00002242.pnm,6
FN,Individual_Component\test\test_positive\00000000\item_00000416.pnm,18
FP,Individual_Component\test\test_negative\00000005\item_00005212.pnm,29
FN,Individual_Component\test\test_positive\00000002\item_00002673.pnm,76
FN,Individual_Component\test\test_positive\00000001\item_00001470.pnm,5
FN,Individual_Component\test\test_positive\00000000\item_00000096.pnm,70
FP,Individual_Component\test\test_negative\00000002\item_00002428.pnm,38
FP,Individual_Component\test\test_negative\00000002\item_00002212.pnm,3
FN,Individual_Component\test\test_positive\00000002\item_00002855.pnm,44
FN,Individual_Component\test\test_positive\00000002\item_00002266.pnm,15
FN,Individual_Component\test\test_positive\00000001\item_00001850.pnm,18
FP,Individual_Component\test\test_negative\00000003\item_00003242.pnm,26
FN,Individual_Component\test\test_positive\00000001\item_00001590.pnm,12
FN,Individual_Component\test\test_positive\00000002\item_00002741.pnm,41
FN,Individual_Component\test\test_positive\00000001\item_00001921.pnm,34
FN,Individual_Component\test\test_positive\00000001\item_00001471.pnm,18
FP,Individual_Component\test\test_negative\00000004\item_00004296.pnm,37
FN,Individual_Component\test\test_positive\00000001\item_00001398.pnm,26
FN,Individual_Component\test\test_positive\00000001\item_00001756.pnm,58
FP,Individual_Component\test\test_negative\00000004\item_00004297.pnm,71
FN,Individual_Component\test\test_positive\00000002\item_00002329.pnm,32
FN,Individual_Component\test\test_positive\00000002\item_00002222.pnm,11
FP,Individual_Component\test\test_negative\00000004\item_00004993.pnm,39
FN,Individual_Component\test\test_positive\00000001\item_00001474.pnm,9
FN,Individual_Component\test\test_positive\00000000\item_00000264.pnm,13
FP,Individual_Component\test\test_negative\00000002\item_00002012.pnm,21
FP,Individual_Component\test\test_negative\00000002\item_00002810.pnm,24
FP,Individual_Component\test\test_negative\00000004\item_00004812.pnm,3
FN,Individual_Component\test\test_positive\00000001\item_00001232.pnm,6
FN,Individual_Component\test\test_positive\00000000\item_00000707.pnm,30
FN,Individual_Component\test\test_positive\00000000\item_00000020.pnm,6
FP,Individual_Component\test\test_negative\00000001\item_00001998.pnm,38
FP,Individual_Component\test\test_negative\00000002\item_00002201.pnm,48
FP,Individual_Component\test\test_negative\00000004\item_00004428.pnm,27
FP,Individual_Component\test\test_negative\00000004\item_00004236.pnm,4
FN,Individual_Component\test\test_positive\00000003\item_00003451.pnm,31
FP,Individual_Component\test\test_negative\00000005\item_00005578.pnm,10
FN,Individual_Component\test\test_positive\00000002\item_00002443.pnm,5
FN,Individual_Component\test\test_positive\00000000\item_00000005.pnm,41
FN,Individual_Component\test\test_positive\00000001\item_00001976.pnm,3
FN,Individual_Component\test\test_positive\00000002\item_00002368.pnm,19
FN,Individual_Component\test\test_positive\00000001\item_00001899.pnm,28
FN,Individual_Component\test\test_positive\00000002\item_00002047.pnm,25
FN,Individual_Component\test\test_positive\00000002\item_00002952.pnm,65
FP,Individual_Component\test\test_negative\00000002\item_00002382.pnm,33
FN,Individual_Component\test\test_positive\00000000\item_00000242.pnm,26
FP,Individual_Component\test\test_negative\00000003\item_00003535.pnm,31
FP,Individual_Component\test\test_negative\00000005\item_00005446.pnm,10
FN,Individual_Component\test\test_positive\00000001\item_00001622.pnm,42
FP,Individual_Component\test\test_negative\00000004\item_00004791.pnm,71
FN,Individual_Component\test\test_positive\00000000\item_00000384.pnm,29
FN,Individual_Component\test\test_positive\00000001\item_00001757.pnm,69
FN,Individual_Component\test\test_positive\00000001\item_00001684.pnm,37
FN,Individual_Component\test\test_positive\00000001\item_00001905.pnm,20
FP,Individual_Component\test\test_negative\00000000\item_00000036.pnm,36
FN,Individual_Component\test\test_positive\00000001\item_00001112.pnm,9
FP,Individual_Component\test\test_negative\00000004\item_00004784.pnm,1
FP,Individual_Component\test\test_negative\00000004\item_00004076.pnm,15
FP,Individual_Component\test\test_negative\00000002\item_00002215.pnm,12
FN,Individual_Component\test\test_positive\00000000\item_00000700.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001578.pnm,5
FP,Individual_Component\test\test_negative\00000002\item_00002966.pnm,2
FN,Individual_Component\test\test_positive\00000000\item_00000625.pnm,8
FN,Individual_Component\test\test_positive\00000002\item_00002142.pnm,5
FP,Individual_Component\test\test_negative\00000003\item_00003999.pnm,6
FP,Individual_Component\test\test_negative\00000004\item_00004894.pnm,17
FP,Individual_Component\test\test_negative\00000005\item_00005311.pnm,37
FN,Individual_Component\test\test_positive\00000000\item_00000491.pnm,14
FP,Individual_Component\test\test_negative\00000001\item_00001699.pnm,9
FN,Individual_Component\test\test_positive\00000001\item_00001164.pnm,27
FN,Individual_Component\test\test_positive\00000001\item_00001534.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001876.pnm,2
FP,Individual_Component\test\test_negative\00000005\item_00005893.pnm,73
FP,Individual_Component\test\test_negative\00000004\item_00004668.pnm,13
FN,Individual_Component\test\test_positive\00000000\item_00000941.pnm,58
FP,Individual_Component\test\test_negative\00000003\item_00003219.pnm,13
FN,Individual_Component\test\test_positive\00000002\item_00002552.pnm,5
FP,Individual_Component\test\test_negative\00000002\item_00002503.pnm,21
FP,Individual_Component\test\test_negative\00000001\item_00001499.pnm,5
FN,Individual_Component\test\test_positive\00000001\item_00001116.pnm,12
FN,Individual_Component\test\test_positive\00000001\item_00001552.pnm,15
FP,Individual_Component\test\test_negative\00000005\item_00005233.pnm,10
FP,Individual_Component\test\test_negative\00000003\item_00003910.pnm,5
FP,Individual_Component\test\test_negative\00000002\item_00002186.pnm,7
FP,Individual_Component\test\test_negative\00000000\item_00000698.pnm,26
FN,Individual_Component\test\test_positive\00000000\item_00000521.pnm,2
FP,Individual_Component\test\test_negative\00000003\item_00003880.pnm,11
FP,Individual_Component\test\test_negative\00000002\item_00002370.pnm,6
FP,Individual_Component\test\test_negative\00000005\item_00005922.pnm,10
FN,Individual_Component\test\test_positive\00000001\item_00001708.pnm,3
FP,Individual_Component\test\test_negative\00000003\item_00003355.pnm,32
FN,Individual_Component\test\test_positive\00000002\item_00002113.pnm,105
FP,Individual_Component\test\test_negative\00000004\item_00004569.pnm,28
FP,Individual_Component\test\test_negative\00000002\item_00002911.pnm,2
FN,Individual_Component\test\test_positive\00000000\item_00000116.pnm,34
FN,Individual_Component\test\test_positive\00000000\item_00000792.pnm,1
FN,Individual_Component\test\test_positive\00000001\item_00001933.pnm,8
FN,Individual_Component\test\test_positive\00000002\item_00002632.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003761.pnm,2
FN,Individual_Component\test\test_positive\00000002\item_00002065.pnm,11
FP,Individual_Component\test\test_negative\00000004\item_00004513.pnm,17
FP,Individual_Component\test\test_negative\00000001\item_00001944.pnm,28
FP,Individual_Component\test\test_negative\00000003\item_00003484.pnm,9
FP,Individual_Component\test\test_negative\00000001\item_00001489.pnm,3
FN,Individual_Component\test\test_positive\00000000\item_00000395.pnm,1
FP,Individual_Component\test\test_negative\00000001\item_00001036.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003341.pnm,12
FN,Individual_Component\test\test_positive\00000002\item_00002464.pnm,18
FP,Individual_Component\test\test_negative\00000000\item_00000999.pnm,13
FN,Individual_Component\test\test_positive\00000002\item_00002459.pnm,1
FP,Individual_Component\test\test_negative\00000003\item_00003149.pnm,25
FN,Individual_Component\test\test_positive\00000000\item_00000148.pnm,32
FN,Individual_Component\test\test_positive\00000002\item_00002344.pnm,20
FN,Individual_Component\test\test_positive\00000001\item_00001475.pnm,28
FP,Individual_Component\test\test_negative\00000000\item_00000416.pnm,19
FP,Individual_Component\test\test_negative\00000000\item_00000284.pnm,13
FP,Individual_Component\test\test_negative\00000000\item_00000772.pnm,12
FN,Individual_Component\test\test_positive\00000001\item_00001703.pnm,9
FP,Individual_Component\test\test_negative\00000004\item_00004982.pnm,8
FN,Individual_Component\test\test_positive\00000000\item_00000421.pnm,19
FP,Individual_Component\test\test_negative\00000002\item_00002814.pnm,20
FN,Individual_Component\test\test_positive\00000001\item_00001704.pnm,2
FP,Individual_Component\test\test_negative\00000000\item_00000388.pnm,12
FN,Individual_Component\test\test_positive\00000000\item_00000624.pnm,5
FP,Individual_Component\test\test_negative\00000000\item_00000643.pnm,4
FN,Individual_Component\test\test_positive\00000000\item_00000393.pnm,8
FP,Individual_Component\test\test_negative\00000005\item_00005013.pnm,2
FN,Individual_Component\test\test_positive\00000001\item_00001253.pnm,6
FN,Individual_Component\test\test_positive\00000003\item_00003283.pnm,9
FN,Individual_Component\test\test_positive\00000002\item_00002543.pnm,3
FN,Individual_Component\test\test_positive\00000001\item_00001844.pnm,4
FP,Individual_Component\test\test_negative\00000002\item_00002920.pnm,2
FN,Individual_Component\test\test_positive\00000000\item_00000815.pnm,9
FP,Individual_Component\test\test_negative\00000000\item_00000642.pnm,2
FP,Individual_Component\test\test_negative\00000001\item_00001614.pnm,1
FN,Individual_Component\test\test_positive\00000002\item_00002449.pnm,7
FN,Individual_Component\test\test_positive\00000001\item_00001677.pnm,6
FP,Individual_Component\test\test_negative\00000005\item_00005895.pnm,19
FN,Individual_Component\test\test_positive\00000002\item_00002024.pnm,29
FN,Individual_Component\test\test_positive\00000002\item_00002457.pnm,6
FN,Individual_Component\test\test_positive\00000000\item_00000227.pnm,7
FP,Individual_Component\test\test_negative\00000005\item_00005524.pnm,26
FP,Individual_Component\test\test_negative\00000000\item_00000649.pnm,7
FN,Individual_Component\test\test_positive\00000000\item_00000803.pnm,11
FP,Individual_Component\test\test_negative\00000005\item_00005067.pnm,2
FP,Individual_Component\test\test_negative\00000005\item_00005417.pnm,6
FN,Individual_Component\test\test_positive\00000002\item_00002767.pnm,8
